Rank,University,Location
112,West Virginia University,Morgantown ...
113,Portland State University,Portland
114,Auburn University,Auburn
115,Rensselaer Polytechnic Institute,Troy ...
116,Tulane University,New Orleans
117,The University of Tennessee at Martin,Martin ...
118,University of Alabama at Birmingham,Birmingham
119,Wayne State University,Detroit
120,"University at Albany, State University of New York",Albany
121,Southern New Hampshire University,Manchester
122,Baylor University,Waco
123,University of Arkansas,Fayetteville
124,"University of Maryland, Baltimore County",Baltimore
125,Texas Tech University,Lubbock
126,San José State University,San Jose
127,University of North Carolina at Charlotte,Charlotte
128,Mississippi State University,Mississippi State ...
129,San Francisco State University,San Francisco
130,The University of Texas MD Anderson Cancer Center,Houston
131,Brandeis University,Waltham
132,University of Wisconsin-Milwaukee,Milwaukee
133,Southern Methodist University,Dallas
134,Marquette University,Milwaukee
135,Kansas State University,Manhattan ...
136,Kent State University,Kent ...
137,"University of Nevada, Reno",Reno
138,Stony Brook University,Stony Brook
139,DePaul University,Chicago
140,"California State University, Northridge",Northridge
141,University of Denver,Denver
142,Liberty University,Lynchburg
143,College of William & Mary,Williamsburg
144,"University of Nevada, Las Vegas",Las Vegas
145,Northern Illinois University,DeKalb
146,Florida Atlantic University,Boca Raton ...
147,Oregon Health & Science University,Portland ...
148,Michigan Technological University,Houghton
149,The University of Texas at Dallas,Richardson
150,"California Polytechnic State University, San Luis Obispo",San Luis Obispo
151,New Mexico State University,Las Cruces
152,Montana State University,Bozeman
153,Quinnipiac University,Hamden
154,United States Military Academy,West Point
155,Loyola University Chicago,Chicago
156,University of Rhode Island,Kingston ...
157,Santa Clara University,Santa Clara
158,University of Idaho,Moscow
159,Northern Arizona University,Flagstaff ...
160,Indiana University-Purdue University Indianapolis,Indianapolis
161,University of Wyoming,Laramie
162,University of Louisville,Louisville ...
163,University of Missouri-Kansas City,Kansas City
164,Swarthmore College,Swarthmore
165,"Binghamton University, State University of New York",Vestal
166,The University of Maine,Orono
167,Grand Canyon University,Phoenix
168,Wake Forest University,Winston-Salem
169,University of Mississippi,University
170,Bowling Green State University,Bowling Green ...
171,Middle Tennessee State University,Murfreesboro
172,Saint Louis University,St. Louis ...
173,"University of Maryland, Baltimore",Baltimore
174,Western Michigan University,Kalamazoo
175,Baylor College of Medicine,Houston
176,The New School,New York City
177,Nova Southeastern University,Fort Lauderdale ...
178,Texas State University,San Marcos ...
179,University of Richmond,Richmond
180,Lehigh University,Bethlehem
181,Old Dominion University,Norfolk
182,The University of Texas at Arlington,Arlington
183,Illinois Institute of Technology,Chicago
184,"California State University, Fullerton",Fullerton ...
185,"California State University, Long Beach",Long Beach
186,The University of Texas at San Antonio,San Antonio
187,University of Montana,Missoula
188,Marist College,Poughkeepsie
